תאריך,מחיר קניה,מחיר פדיון,שיעור הוספה (%),דמי ניהול (%),שווי נכסים במיל' ₪,דמי נאמנות
21/04/2024 00:00:00,561.91,561.91,0.000,2.460,215.1,0.050
18/04/2024 00:00:00,560.34,560.34,0.000,2.460,215.1,0.050
17/04/2024 00:00:00,557.72,557.72,0.000,2.460,215.1,0.050
16/04/2024 00:00:00,559.71,559.71,0.000,2.460,215.1,0.050
15/04/2024 00:00:00,563.11,563.11,0.000,2.460,215.1,0.050
14/04/2024 00:00:00,561.30,561.30,0.000,2.460,215.1,0.050
11/04/2024 00:00:00,561.12,561.12,0.000,2.460,215.1,0.050
10/04/2024 00:00:00,566.94,566.94,0.000,2.460,215.1,0.050
09/04/2024 00:00:00,569.96,569.96,0.000,2.460,215.1,0.050
08/04/2024 00:00:00,570.82,570.82,0.000,2.460,212.6,0.050
07/04/2024 00:00:00,564.68,564.68,0.000,2.460,212.6,0.050
04/04/2024 00:00:00,563.17,563.17,0.000,2.460,212.6,0.050
03/04/2024 00:00:00,565.11,565.11,0.000,2.460,212.6,0.050
02/04/2024 00:00:00,563.51,563.51,0.000,2.460,212.6,0.050
01/04/2024 00:00:00,565.75,565.75,0.000,2.460,212.6,0.050
31/03/2024 00:00:00,566.63,566.63,0.000,2.460,212.6,0.050
28/03/2024 00:00:00,563.22,563.22,0.000,2.460,212.6,0.050
27/03/2024 00:00:00,558.19,558.19,0.000,2.460,212.6,0.050
26/03/2024 00:00:00,558.22,558.22,0.000,2.460,212.6,0.050
25/03/2024 00:00:00,561.69,561.69,0.000,2.460,212.6,0.050
21/03/2024 00:00:00,558.78,558.78,0.000,2.460,212.6,0.050
20/03/2024 00:00:00,556.74,556.74,0.000,2.460,212.6,0.050
19/03/2024 00:00:00,552.90,552.90,0.000,2.460,212.6,0.050
18/03/2024 00:00:00,551.09,551.09,0.000,2.460,212.6,0.050
17/03/2024 00:00:00,547.73,547.73,0.000,2.460,212.6,0.050
